"season","league","team","points","wins","draws","losses","goals_for","goals_against","goal_diff","played","position"
"2011/2012",Germany 1. Bundesliga,Borussia Dortmund,81,25,6,3,80,25,55,34,1
"2011/2012",Germany 1. Bundesliga,FC Bayern Munich,73,23,4,7,77,22,55,34,2
"2011/2012",Germany 1. Bundesliga,FC Schalke 04,64,20,4,10,74,44,30,34,3
"2011/2012",Germany 1. Bundesliga,Borussia Mönchengladbach,60,17,9,8,49,24,25,34,4
"2011/2012",Germany 1. Bundesliga,Bayer 04 Leverkusen,54,15,9,10,52,44,8,34,5
"2011/2012",Germany 1. Bundesliga,VfB Stuttgart,53,15,8,11,63,46,17,34,6
"2011/2012",Germany 1. Bundesliga,Hannover 96,48,12,12,10,41,45,-4,34,7
"2011/2012",Germany 1. Bundesliga,VfL Wolfsburg,44,13,5,16,47,60,-13,34,8
"2011/2012",Germany 1. Bundesliga,SV Werder Bremen,42,11,9,14,49,58,-9,34,9
"2011/2012",Germany 1. Bundesliga,"1. FC Nürnberg",42,12,6,16,38,49,-11,34,10
"2011/2012",Germany 1. Bundesliga,TSG 1899 Hoffenheim,41,10,11,13,41,47,-6,34,11
"2011/2012",Germany 1. Bundesliga,SC Freiburg,40,10,10,14,45,61,-16,34,12
"2011/2012",Germany 1. Bundesliga,"1. FSV Mainz 05",39,9,12,13,47,51,-4,34,13
"2011/2012",Germany 1. Bundesliga,FC Augsburg,38,8,14,12,36,49,-13,34,14
"2011/2012",Germany 1. Bundesliga,Hamburger SV,36,8,12,14,35,57,-22,34,15
"2011/2012",Germany 1. Bundesliga,Hertha BSC Berlin,31,7,10,17,38,64,-26,34,16
"2011/2012",Germany 1. Bundesliga,"1. FC Köln",30,8,6,20,39,75,-36,34,17
"2011/2012",Germany 1. Bundesliga,"1. FC Kaiserslautern",23,4,11,19,24,54,-30,34,18
"2011/2012",Italy Serie A,Juventus,79,22,13,0,64,19,45,35,1
"2011/2012",Italy Serie A,Milan,77,23,8,6,72,33,39,37,2
"2011/2012",Italy Serie A,Udinese,63,18,9,9,52,34,18,36,3
"2011/2012",Italy Serie A,Napoli,60,16,12,8,64,41,23,36,4
"2011/2012",Italy Serie A,Lazio,59,17,8,11,53,43,10,36,5
"2011/2012",Italy Serie A,Inter,57,17,6,14,56,53,3,37,6
"2011/2012",Italy Serie A,Roma,56,16,8,13,59,52,7,37,7
"2011/2012",Italy Serie A,Parma,54,15,9,12,51,50,1,36,8
"2011/2012",Italy Serie A,Atalanta,50,13,11,11,40,40,0,35,9
"2011/2012",Italy Serie A,Chievo Verona,46,11,13,13,33,44,-11,37,10
"2011/2012",Italy Serie A,Bologna,44,11,11,13,36,41,-5,35,11
"2011/2012",Italy Serie A,Palermo,43,11,10,17,52,62,-10,38,12
"2011/2012",Italy Serie A,Catania,42,10,12,12,42,48,-6,34,13
"2011/2012",Italy Serie A,Fiorentina,42,10,12,12,32,38,-6,34,13
"2011/2012",Italy Serie A,Cagliari,40,9,13,14,35,43,-8,36,15
"2011/2012",Italy Serie A,Genoa,40,11,7,18,48,67,-19,36,16
"2011/2012",Italy Serie A,Siena,38,9,11,16,40,45,-5,36,17
"2011/2012",Italy Serie A,Lecce,34,8,10,17,38,52,-14,35,18
"2011/2012",Italy Serie A,Novara,29,6,11,19,34,64,-30,36,19
"2011/2012",Italy Serie A,Cesena,20,4,8,22,24,56,-32,34,20
"2011/2012",Netherlands Eredivisie,Ajax,76,23,7,4,93,36,57,34,1
"2011/2012",Netherlands Eredivisie,Feyenoord,70,21,7,6,70,37,33,34,2
"2011/2012",Netherlands Eredivisie,PSV,69,21,6,7,87,47,40,34,3
"2011/2012",Netherlands Eredivisie,AZ,65,19,8,7,64,35,29,34,4
"2011/2012",Netherlands Eredivisie,SC Heerenveen,64,18,10,6,79,59,20,34,5
"2011/2012",Netherlands Eredivisie,FC Twente,60,17,9,8,82,46,36,34,6
"2011/2012",Netherlands Eredivisie,Vitesse,53,15,8,11,48,43,5,34,7
"2011/2012",Netherlands Eredivisie,N.E.C.,45,13,6,15,42,45,-3,34,8
"2011/2012",Netherlands Eredivisie,RKC Waalwijk,45,13,6,15,40,49,-9,34,9
"2011/2012",Netherlands Eredivisie,Roda JC Kerkrade,44,14,2,18,55,70,-15,34,10
"2011/2012",Netherlands Eredivisie,FC Utrecht,43,11,10,13,55,58,-3,34,11
"2011/2012",Netherlands Eredivisie,Heracles Almelo,40,11,7,16,52,62,-10,34,12
"2011/2012",Netherlands Eredivisie,NAC Breda,38,10,8,16,45,54,-9,34,13
"2011/2012",Netherlands Eredivisie,FC Groningen,37,10,7,17,41,61,-20,34,14
"2011/2012",Netherlands Eredivisie,ADO Den Haag,32,8,8,18,38,67,-29,34,15
"2011/2012",Netherlands Eredivisie,VVV-Venlo,31,9,4,21,42,78,-36,34,16
"2011/2012",Netherlands Eredivisie,De Graafschap,24,6,6,22,36,74,-38,34,17
"2011/2012",Netherlands Eredivisie,Excelsior,19,4,7,23,28,76,-48,34,18
"2011/2012",Poland Ekstraklasa,Śląsk Wrocław,56,17,5,8,47,31,16,30,1
"2011/2012",Poland Ekstraklasa,Ruch Chorzów,55,16,7,7,44,28,16,30,2
"2011/2012",Poland Ekstraklasa,Legia Warszawa,53,15,8,7,42,17,25,30,3
"2011/2012",Poland Ekstraklasa,Lech Poznań,52,15,7,8,42,22,20,30,4
"2011/2012",Poland Ekstraklasa,Korona Kielce,48,13,9,8,34,29,5,30,5
"2011/2012",Poland Ekstraklasa,P. Warszawa,45,13,6,11,33,32,1,30,6
"2011/2012",Poland Ekstraklasa,Wisła Kraków,43,12,7,11,29,26,3,30,7
"2011/2012",Poland Ekstraklasa,Polonia Bytom,42,11,9,10,36,30,6,30,8
"2011/2012",Poland Ekstraklasa,Zagłębie Lubin,40,11,7,12,36,42,-6,30,9
"2011/2012",Poland Ekstraklasa,Widzew Łódź,39,9,12,9,25,26,-1,30,10
"2011/2012",Poland Ekstraklasa,Jagiellonia Białystok,39,11,6,13,35,45,-10,30,11
"2011/2012",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,35,9,8,13,26,39,-13,30,12
"2011/2012",Poland Ekstraklasa,GKS Bełchatów,31,7,10,13,34,36,-2,30,13
"2011/2012",Poland Ekstraklasa,Lechia Gdańsk,31,7,10,13,21,30,-9,30,14
"2011/2012",Poland Ekstraklasa,Widzew Łódź,24,5,9,16,23,53,-30,30,15
"2011/2012",Poland Ekstraklasa,Cracovia,22,4,10,16,20,41,-21,30,16
"2011/2012",Portugal Liga ZON Sagres,FC Porto,75,23,6,1,69,19,50,30,1
"2011/2012",Portugal Liga ZON Sagres,SL Benfica,69,21,6,3,66,27,39,30,2
"2011/2012",Portugal Liga ZON Sagres,SC Braga,62,19,5,6,59,29,30,30,3
"2011/2012",Portugal Liga ZON Sagres,Sporting CP,59,18,5,7,47,26,21,30,4
"2011/2012",Portugal Liga ZON Sagres,CS Marítimo,50,14,8,8,41,38,3,30,5
"2011/2012",Portugal Liga ZON Sagres,Vitória Guimarães,45,14,3,13,40,40,0,30,6
"2011/2012",Portugal Liga ZON Sagres,CD Nacional,44,13,5,12,48,50,-2,30,7
"2011/2012",Portugal Liga ZON Sagres,S.C. Olhanense,39,9,12,9,36,38,-2,30,8
"2011/2012",Portugal Liga ZON Sagres,Gil Vicente FC,34,8,10,12,31,42,-11,30,9
"2011/2012",Portugal Liga ZON Sagres,FC Paços de Ferreira,31,8,7,15,35,53,-18,30,10
"2011/2012",Portugal Liga ZON Sagres,Vitória Setúbal,30,8,6,16,24,49,-25,30,11
"2011/2012",Portugal Liga ZON Sagres,Académica de Coimbra,29,7,8,15,27,38,-11,30,12
"2011/2012",Portugal Liga ZON Sagres,SC Beira Mar,29,8,5,17,26,38,-12,30,13
"2011/2012",Portugal Liga ZON Sagres,Rio Ave FC,28,7,7,16,33,42,-9,30,14
"2011/2012",Portugal Liga ZON Sagres,Feirense,24,5,9,16,27,49,-22,30,15
"2011/2012",Portugal Liga ZON Sagres,"União de Leiria, SAD",19,5,4,21,25,56,-31,30,16
"2011/2012",Scotland Premier League,Celtic,93,30,3,5,84,21,63,38,1
"2011/2012",Scotland Premier League,Rangers,83,26,5,7,77,28,49,38,2
"2011/2012",Scotland Premier League,Motherwell,62,18,8,12,49,44,5,38,3
"2011/2012",Scotland Premier League,Dundee United,59,16,11,11,62,50,12,38,4
"2011/2012",Scotland Premier League,Heart of Midlothian,52,15,7,16,45,43,2,38,5
"2011/2012",Scotland Premier League,St. Johnstone FC,50,14,8,16,43,50,-7,38,6
"2011/2012",Scotland Premier League,Kilmarnock,47,11,14,13,44,61,-17,38,7
"2011/2012",Scotland Premier League,St. Mirren,43,9,16,13,39,51,-12,38,8
"2011/2012",Scotland Premier League,Aberdeen,41,9,14,15,36,44,-8,38,9
"2011/2012",Scotland Premier League,Inverness Caledonian Thistle,39,10,9,19,42,60,-18,38,10
"2011/2012",Scotland Premier League,Hibernian,33,8,9,21,40,67,-27,38,11
"2011/2012",Scotland Premier League,Dunfermline Athletic,25,5,10,23,40,82,-42,38,12
"2011/2012",Spain LIGA BBVA,Real Madrid CF,100,32,4,2,121,32,89,38,1
"2011/2012",Spain LIGA BBVA,FC Barcelona,91,28,7,3,114,29,85,38,2
"2011/2012",Spain LIGA BBVA,Valencia CF,61,17,10,11,59,44,15,38,3
"2011/2012",Spain LIGA BBVA,Málaga CF,58,17,7,14,54,53,1,38,4
"2011/2012",Spain LIGA BBVA,Atlético Madrid,56,15,11,12,53,46,7,38,5
"2011/2012",Spain LIGA BBVA,Levante UD,55,16,7,15,54,50,4,38,6
"2011/2012",Spain LIGA BBVA,CA Osasuna,54,13,15,10,44,61,-17,38,7
"2011/2012",Spain LIGA BBVA,RCD Mallorca,52,14,10,14,42,46,-4,38,8
"2011/2012",Spain LIGA BBVA,Sevilla FC,50,13,11,14,48,47,1,38,9
"2011/2012",Spain LIGA BBVA,Athletic Club de Bilbao,49,12,13,13,49,52,-3,38,10
"2011/2012",Spain LIGA BBVA,Real Sociedad,47,12,11,15,46,52,-6,38,11
"2011/2012",Spain LIGA BBVA,Real Betis Balompié,47,13,8,17,47,56,-9,38,12
"2011/2012",Spain LIGA BBVA,Getafe CF,47,12,11,15,40,51,-11,38,13
"2011/2012",Spain LIGA BBVA,RCD Espanyol,46,12,10,16,46,56,-10,38,14
"2011/2012",Spain LIGA BBVA,Rayo Vallecano,43,13,4,21,53,73,-20,38,15
"2011/2012",Spain LIGA BBVA,Real Zaragoza,43,12,7,19,36,61,-25,38,16
"2011/2012",Spain LIGA BBVA,Granada CF,42,12,6,20,35,56,-21,38,17
"2011/2012",Spain LIGA BBVA,Villarreal CF,41,9,14,15,39,53,-14,38,18
"2011/2012",Spain LIGA BBVA,Real Sporting de Gijón,37,10,7,21,42,69,-27,38,19
"2011/2012",Spain LIGA BBVA,Racing Santander,27,4,15,19,28,63,-35,38,20
"2011/2012",Switzerland Super League,FC Basel,74,22,8,4,78,33,45,34,1
"2011/2012",Switzerland Super League,FC Luzern,54,14,12,8,46,32,14,34,2
"2011/2012",Switzerland Super League,FC Sion,53,15,8,11,40,35,5,34,3
"2011/2012",Switzerland Super League,BSC Young Boys,51,13,12,9,52,38,14,34,4
"2011/2012",Switzerland Super League,Servette FC,48,14,6,14,45,53,-8,34,5
"2011/2012",Switzerland Super League,FC Thun,43,11,10,13,38,41,-3,34,6
"2011/2012",Switzerland Super League,FC Zürich,41,11,8,15,43,44,-1,34,7
"2011/2012",Switzerland Super League,FC Lausanne-Sports,30,8,6,20,29,61,-32,34,8
"2011/2012",Switzerland Super League,Neuchâtel Xamax,26,7,5,6,22,22,0,18,9
"2011/2012",Switzerland Super League,Grasshopper Club Zürich,26,7,5,22,32,66,-34,34,10
"2012/2013",Belgium Jupiler League,RSC Anderlecht,67,20,7,3,69,27,42,30,1
"2012/2013",Belgium Jupiler League,SV Zulte-Waregem,63,19,6,5,49,29,20,30,2
"2012/2013",Belgium Jupiler League,KRC Genk,55,15,10,5,63,40,23,30,3
"2012/2013",Belgium Jupiler League,Club Brugge KV,54,15,9,6,66,43,23,30,4
"2012/2013",Belgium Jupiler League,Sporting Lokeren,51,14,9,7,53,38,15,30,5
"2012/2013",Belgium Jupiler League,Standard de Liège,50,15,5,10,54,33,21,30,6
"2012/2013",Belgium Jupiler League,RAEC Mons,44,13,5,12,48,53,-5,30,7
"2012/2013",Belgium Jupiler League,KV Mechelen,41,12,5,13,44,42,2,30,8
"2012/2013",Belgium Jupiler League,KV Kortrijk,39,11,6,13,31,30,1,30,9
"2012/2013",Belgium Jupiler League,Oud-Heverlee Leuven,36,8,12,10,46,51,-5,30,10
"2012/2013",Belgium Jupiler League,KAA Gent,34,8,10,12,33,40,-7,30,11
"2012/2013",Belgium Jupiler League,Sporting Charleroi,34,10,4,16,30,49,-19,30,12
"2012/2013",Belgium Jupiler League,Waasland-Beveren,30,7,9,14,28,49,-21,30,13
"2012/2013",Belgium Jupiler League,Lierse SK,26,5,11,14,28,53,-25,30,14
"2012/2013",Belgium Jupiler League,Beerschot AC,23,6,5,19,31,61,-30,30,15
"2012/2013",Belgium Jupiler League,KSV Cercle Brugge,14,3,5,22,30,65,-35,30,16
"2012/2013",England Premier League,Manchester United,89,28,5,5,86,43,43,38,1
"2012/2013",England Premier League,Manchester City,78,23,9,6,66,34,32,38,2
"2012/2013",England Premier League,Chelsea,75,22,9,7,75,39,36,38,3
"2012/2013",England Premier League,Arsenal,73,21,10,7,72,37,35,38,4
"2012/2013",England Premier League,Tottenham Hotspur,72,21,9,8,66,46,20,38,5
"2012/2013",England Premier League,Everton,63,16,15,7,55,40,15,38,6
"2012/2013",England Premier League,Liverpool,61,16,13,9,71,43,28,38,7
"2012/2013",England Premier League,West Bromwich Albion,49,14,7,17,53,57,-4,38,8
"2012/2013",England Premier League,Swansea City,46,11,13,14,47,51,-4,38,9
"2012/2013",England Premier League,West Ham United,46,12,10,16,45,53,-8,38,10
"2012/2013",England Premier League,Norwich City,44,10,14,14,41,58,-17,38,11
"2012/2013",England Premier League,Fulham,43,11,10,17,50,60,-10,38,12
"2012/2013",England Premier League,Stoke City,42,9,15,14,34,45,-11,38,13
"2012/2013",England Premier League,Southampton,41,9,14,15,49,60,-11,38,14
"2012/2013",England Premier League,Aston Villa,41,10,11,17,47,69,-22,38,15
"2012/2013",England Premier League,Newcastle United,41,11,8,19,45,68,-23,38,16
"2012/2013",England Premier League,Sunderland,39,9,12,17,41,54,-13,38,17
"2012/2013",England Premier League,Wigan Athletic,36,9,9,20,47,73,-26,38,18
"2012/2013",England Premier League,Reading,28,6,10,22,43,73,-30,38,19
"2012/2013",England Premier League,Queens Park Rangers,25,4,13,21,30,60,-30,38,20
"2012/2013",France Ligue 1,Paris Saint-Germain,83,25,8,5,69,23,46,38,1
"2012/2013",France Ligue 1,Olympique de Marseille,71,21,8,9,42,36,6,38,2
"2012/2013",France Ligue 1,Olympique Lyonnais,67,19,10,9,61,38,23,38,3
"2012/2013",France Ligue 1,OGC Nice,64,18,10,10,57,46,11,38,4
"2012/2013",France Ligue 1,AS Saint-Étienne,63,16,15,7,60,32,28,38,5
"2012/2013",France Ligue 1,LOSC Lille,62,16,14,8,59,40,19,38,6
"2012/2013",France Ligue 1,Girondins de Bordeaux,55,13,16,9,40,34,6,38,7
"2012/2013",France Ligue 1,FC Lorient,53,14,11,13,57,58,-1,38,8
"2012/2013",France Ligue 1,Montpellier Hérault SC,52,15,7,16,54,51,3,38,9
"2012/2013",France Ligue 1,Toulouse FC,51,13,12,13,49,47,2,38,10
"2012/2013",France Ligue 1,Valenciennes FC,48,12,12,14,49,53,-4,38,11
"2012/2013",France Ligue 1,SC Bastia,47,13,8,17,50,66,-16,38,12
"2012/2013",France Ligue 1,Stade Rennais FC,46,13,7,18,48,59,-11,38,13
"2012/2013",France Ligue 1,Stade de Reims,43,10,13,15,33,42,-9,38,14
"2012/2013",France Ligue 1,AC Ajaccio,42,9,15,14,39,51,-12,38,15
"2012/2013",France Ligue 1,FC Sochaux-Montbéliard,41,10,11,17,41,57,-16,38,16
"2012/2013",France Ligue 1,Évian Thonon Gaillard FC,40,10,10,18,46,53,-7,38,17
"2012/2013",France Ligue 1,AS Nancy-Lorraine,38,9,11,18,38,58,-20,38,18
"2012/2013",France Ligue 1,ES Troyes AC,37,8,13,17,43,61,-18,38,19
"2012/2013",France Ligue 1,Stade Brestois 29,29,8,5,25,32,62,-30,38,20
"2012/2013",Germany 1. Bundesliga,FC Bayern Munich,91,29,4,1,98,18,80,34,1
"2012/2013",Germany 1. Bundesliga,Borussia Dortmund,66,19,9,6,81,42,39,34,2
"2012/2013",Germany 1. Bundesliga,Bayer 04 Leverkusen,65,19,8,7,65,39,26,34,3
"2012/2013",Germany 1. Bundesliga,FC Schalke 04,55,16,7,11,58,50,8,34,4
"2012/2013",Germany 1. Bundesliga,SC Freiburg,51,14,9,11,45,40,5,34,5
"2012/2013",Germany 1. Bundesliga,Eintracht Frankfurt,51,14,9,11,49,46,3,34,6
"2012/2013",Germany 1. Bundesliga,Hamburger SV,48,14,6,14,42,53,-11,34,7
"2012/2013",Germany 1. Bundesliga,Borussia Mönchengladbach,47,12,11,11,45,49,-4,34,8
"2012/2013",Germany 1. Bundesliga,Hannover 96,45,13,6,15,60,62,-2,34,9
"2012/2013",Germany 1. Bundesliga,"1. FC Nürnberg",44,11,11,12,39,47,-8,34,10
"2012/2013",Germany 1. Bundesliga,VfL Wolfsburg,43,10,13,11,47,52,-5,34,11
"2012/2013",Germany 1. Bundesliga,VfB Stuttgart,43,12,7,15,37,55,-18,34,12
"2012/2013",Germany 1. Bundesliga,"1. FSV Mainz 05",42,10,12,12,42,44,-2,34,13
"2012/2013",Germany 1. Bundesliga,SV Werder Bremen,34,8,10,16,50,66,-16,34,14
"2012/2013",Germany 1. Bundesliga,FC Augsburg,33,8,9,17,33,51,-18,34,15
"2012/2013",Germany 1. Bundesliga,TSG 1899 Hoffenheim,31,8,7,19,42,67,-25,34,16
"2012/2013",Germany 1. Bundesliga,Fortuna Düsseldorf,30,7,9,18,39,57,-18,34,17
"2012/2013",Germany 1. Bundesliga,SpVgg Greuther Fürth,21,4,9,21,26,60,-34,34,18
"2012/2013",Italy Serie A,Juventus,87,27,6,5,71,24,47,38,1
"2012/2013",Italy Serie A,Napoli,78,23,9,6,73,36,37,38,2
"2012/2013",Italy Serie A,Milan,72,21,9,8,67,39,28,38,3
"2012/2013",Italy Serie A,Fiorentina,70,21,7,10,72,44,28,38,4
"2012/2013",Italy Serie A,Udinese,66,18,12,8,59,45,14,38,5
"2012/2013",Italy Serie A,Roma,62,18,8,12,71,56,15,38,6
"2012/2013",Italy Serie A,Lazio,61,18,7,13,51,42,9,38,7
"2012/2013",Italy Serie A,Catania,56,15,11,12,50,46,4,38,8
"2012/2013",Italy Serie A,Inter,54,16,6,16,55,57,-2,38,9
"2012/2013",Italy Serie A,Parma,49,13,10,15,45,46,-1,38,10
"2012/2013",Italy Serie A,Cagliari,47,12,11,15,43,55,-12,38,11
"2012/2013",Italy Serie A,Chievo Verona,45,12,9,17,37,52,-15,38,12
"2012/2013",Italy Serie A,Bologna,44,11,11,16,46,52,-6,38,13
"2012/2013",Italy Serie A,Sampdoria,43,11,10,17,43,51,-8,38,14
"2012/2013",Italy Serie A,Atalanta,42,11,9,18,39,56,-17,38,15
"2012/2013",Italy Serie A,Torino,40,8,16,14,46,55,-9,38,16
"2012/2013",Italy Serie A,Genoa,38,8,14,16,38,52,-14,38,17
"2012/2013",Italy Serie A,Siena,36,9,9,20,36,57,-21,38,18
"2012/2013",Italy Serie A,Palermo,32,6,14,18,34,54,-20,38,19
"2012/2013",Italy Serie A,Pescara,22,6,4,28,27,84,-57,38,20
"2012/2013",Netherlands Eredivisie,Ajax,76,22,10,2,83,31,52,34,1
"2012/2013",Netherlands Eredivisie,PSV,69,22,3,9,103,43,60,34,2
"2012/2013",Netherlands Eredivisie,Feyenoord,69,21,6,7,64,38,26,34,3
"2012/2013",Netherlands Eredivisie,Vitesse,64,19,7,8,68,42,26,34,4
"2012/2013",Netherlands Eredivisie,FC Utrecht,63,19,6,9,55,41,14,34,5
"2012/2013",Netherlands Eredivisie,FC Twente,62,17,11,6,60,33,27,34,6
"2012/2013",Netherlands Eredivisie,FC Groningen,43,12,7,15,36,53,-17,34,7
"2012/2013",Netherlands Eredivisie,SC Heerenveen,42,11,9,14,50,63,-13,34,8
"2012/2013",Netherlands Eredivisie,ADO Den Haag,40,9,13,12,49,63,-14,34,9
"2012/2013",Netherlands Eredivisie,AZ,39,10,9,15,56,54,2,34,10
"2012/2013",Netherlands Eredivisie,PEC Zwolle,39,10,9,15,42,55,-13,34,11
"2012/2013",Netherlands Eredivisie,Heracles Almelo,38,9,11,14,58,71,-13,34,12
"2012/2013",Netherlands Eredivisie,NAC Breda,38,10,8,16,40,56,-16,34,13
"2012/2013",Netherlands Eredivisie,RKC Waalwijk,37,9,10,15,39,48,-9,34,14
"2012/2013",Netherlands Eredivisie,N.E.C.,37,10,7,17,44,66,-22,34,15
"2012/2013",Netherlands Eredivisie,Roda JC Kerkrade,33,7,12,15,51,69,-18,34,16
"2012/2013",Netherlands Eredivisie,VVV-Venlo,28,6,10,18,33,62,-29,34,17
"2012/2013",Netherlands Eredivisie,Willem II,23,5,8,21,33,76,-43,34,18
"2012/2013",Poland Ekstraklasa,Legia Warszawa,67,20,7,3,59,22,37,30,1
"2012/2013",Poland Ekstraklasa,Lech Poznań,61,19,4,7,46,22,24,30,2
"2012/2013",Poland Ekstraklasa,Śląsk Wrocław,47,13,8,9,44,42,2,30,3
"2012/2013",Poland Ekstraklasa,Piast Gliwice,46,13,7,10,41,41,0,30,4
"2012/2013",Poland Ekstraklasa,Polonia Bytom,43,12,7,11,35,31,4,30,5
"2012/2013",Poland Ekstraklasa,P. Warszawa,42,11,9,10,45,34,11,30,6
"2012/2013",Poland Ekstraklasa,Zagłębie Lubin,40,11,7,12,38,37,1,30,7
"2012/2013",Poland Ekstraklasa,Lechia Gdańsk,38,10,8,12,42,43,-1,30,8
"2012/2013",Poland Ekstraklasa,Wisła Kraków,38,10,8,12,28,35,-7,30,9
"2012/2013",Poland Ekstraklasa,Jagiellonia Białystok,37,8,13,9,31,45,-14,30,10
"2012/2013",Poland Ekstraklasa,Korona Kielce,36,9,9,12,32,37,-5,30,11
"2012/2013",Poland Ekstraklasa,Pogoń Szczecin,35,10,5,15,29,39,-10,30,12
"2012/2013",Poland Ekstraklasa,Widzew Łódź,33,8,9,13,30,41,-11,30,13
"2012/2013",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,32,8,8,14,39,43,-4,30,14
"2012/2013",Poland Ekstraklasa,Ruch Chorzów,31,8,7,15,35,48,-13,30,15
"2012/2013",Poland Ekstraklasa,GKS Bełchatów,31,7,10,13,24,38,-14,30,16
"2012/2013",Portugal Liga ZON Sagres,FC Porto,78,24,6,0,70,14,56,30,1
"2012/2013",Portugal Liga ZON Sagres,SL Benfica,77,24,5,1,77,20,57,30,2
"2012/2013",Portugal Liga ZON Sagres,FC Paços de Ferreira,54,14,12,4,42,29,13,30,3
"2012/2013",Portugal Liga ZON Sagres,SC Braga,52,16,4,10,60,44,16,30,4
"2012/2013",Portugal Liga ZON Sagres,Estoril Praia,45,13,6,11,47,37,10,30,5
"2012/2013",Portugal Liga ZON Sagres,Sporting CP,42,11,9,10,36,36,0,30,6
"2012/2013",Portugal Liga ZON Sagres,Rio Ave FC,42,12,6,12,35,42,-7,30,7
"2012/2013",Portugal Liga ZON Sagres,CD Nacional,40,11,7,12,45,51,-6,30,8
"2012/2013",Portugal Liga ZON Sagres,Vitória Guimarães,40,11,7,12,36,47,-11,30,9
"2012/2013",Portugal Liga ZON Sagres,CS Marítimo,38,9,11,10,34,45,-11,30,10
"2012/2013",Portugal Liga ZON Sagres,Académica de Coimbra,28,6,10,14,33,45,-12,30,11
"2012/2013",Portugal Liga ZON Sagres,Vitória Setúbal,26,7,5,18,30,55,-25,30,12
"2012/2013",Portugal Liga ZON Sagres,S.C. Olhanense,25,5,10,15,26,42,-16,30,13
"2012/2013",Portugal Liga ZON Sagres,Gil Vicente FC,25,6,7,17,31,54,-23,30,14
"2012/2013",Portugal Liga ZON Sagres,Moreirense FC,24,5,9,16,30,51,-21,30,15
"2012/2013",Portugal Liga ZON Sagres,SC Beira Mar,23,5,8,17,35,55,-20,30,16
"2012/2013",Scotland Premier League,Celtic,79,24,7,7,92,35,57,38,1
"2012/2013",Scotland Premier League,Motherwell,63,18,9,11,67,51,16,38,2
"2012/2013",Scotland Premier League,St. Johnstone FC,56,14,14,10,45,44,1,38,3
"2012/2013",Scotland Premier League,Inverness Caledonian Thistle,54,13,15,10,64,60,4,38,4
"2012/2013",Scotland Premier League,Ross County FC,53,13,14,11,47,48,-1,38,5
"2012/2013",Scotland Premier League,Hibernian,51,13,12,13,49,52,-3,38,6
"2012/2013",Scotland Premier League,Aberdeen,48,11,15,12,41,43,-2,38,7
"2012/2013",Scotland Premier League,Dundee United,47,11,14,13,51,62,-11,38,8
"2012/2013",Scotland Premier League,Kilmarnock,45,11,12,15,52,53,-1,38,9
"2012/2013",Scotland Premier League,Heart of Midlothian,44,11,11,16,40,49,-9,38,10
"2012/2013",Scotland Premier League,St. Mirren,41,9,14,15,47,60,-13,38,11
"2012/2013",Scotland Premier League,Dundee FC,30,7,9,22,28,66,-38,38,12
"2012/2013",Spain LIGA BBVA,FC Barcelona,100,32,4,2,115,40,75,38,1
"2012/2013",Spain LIGA BBVA,Real Madrid CF,85,26,7,5,103,42,61,38,2
"2012/2013",Spain LIGA BBVA,Atlético Madrid,76,23,7,8,65,31,34,38,3
"2012/2013",Spain LIGA BBVA,Real Sociedad,66,18,12,8,70,49,21,38,4
"2012/2013",Spain LIGA BBVA,Valencia CF,65,19,8,11,67,54,13,38,5
"2012/2013",Spain LIGA BBVA,Málaga CF,57,16,9,13,53,50,3,38,6
"2012/2013",Spain LIGA BBVA,Real Betis Balompié,56,16,8,14,57,56,1,38,7
"2012/2013",Spain LIGA BBVA,Rayo Vallecano,53,16,5,17,50,66,-16,38,8
"2012/2013",Spain LIGA BBVA,Sevilla FC,50,14,8,16,58,54,4,38,9
"2012/2013",Spain LIGA BBVA,Getafe CF,47,13,8,17,43,57,-14,38,10
"2012/2013",Spain LIGA BBVA,Levante UD,46,12,10,16,40,57,-17,38,11
"2012/2013",Spain LIGA BBVA,Athletic Club de Bilbao,45,12,9,17,44,65,-21,38,12
"2012/2013",Spain LIGA BBVA,RCD Espanyol,44,11,11,16,43,52,-9,38,13
"2012/2013",Spain LIGA BBVA,Real Valladolid,43,11,10,17,49,58,-9,38,14
"2012/2013",Spain LIGA BBVA,Granada CF,42,11,9,18,37,54,-17,38,15
"2012/2013",Spain LIGA BBVA,CA Osasuna,39,10,9,19,33,50,-17,38,16
"2012/2013",Spain LIGA BBVA,RC Celta de Vigo,37,10,7,21,37,52,-15,38,17
"2012/2013",Spain LIGA BBVA,RCD Mallorca,36,9,9,20,43,72,-29,38,18
"2012/2013",Spain LIGA BBVA,RC Deportivo de La Coruña,35,8,11,19,47,70,-23,38,19
"2012/2013",Spain LIGA BBVA,Real Zaragoza,34,9,7,22,37,62,-25,38,20
"2012/2013",Switzerland Super League,FC Basel,72,21,9,6,61,31,30,36,1
"2012/2013",Switzerland Super League,Grasshopper Club Zürich,69,20,9,7,48,32,16,36,2
"2012/2013",Switzerland Super League,FC St. Gallen,59,17,8,11,54,36,18,36,3
"2012/2013",Switzerland Super League,FC Zürich,55,16,7,13,62,48,14,36,4
"2012/2013",Switzerland Super League,FC Thun,48,13,9,14,44,46,-2,36,5
