"team","season","date","rolling_5_game_points"
Ruch Chorzów,"2008/2009","2008-08-10 00:00:00",1
Ruch Chorzów,"2008/2009","2008-08-16 00:00:00",4
Ruch Chorzów,"2008/2009","2008-08-22 00:00:00",7
Ruch Chorzów,"2008/2009","2008-08-30 00:00:00",7
Ruch Chorzów,"2008/2009","2008-09-12 00:00:00",10
Ruch Chorzów,"2008/2009","2008-09-20 00:00:00",9
Ruch Chorzów,"2008/2009","2008-09-27 00:00:00",7
Ruch Chorzów,"2008/2009","2008-10-04 00:00:00",4
Ruch Chorzów,"2008/2009","2008-10-19 00:00:00",7
Ruch Chorzów,"2008/2009","2008-10-24 00:00:00",5
Ruch Chorzów,"2008/2009","2008-11-02 00:00:00",5
Ruch Chorzów,"2008/2009","2008-11-08 00:00:00",5
Ruch Chorzów,"2008/2009","2008-11-11 00:00:00",5
Ruch Chorzów,"2008/2009","2008-11-15 00:00:00",5
Ruch Chorzów,"2008/2009","2008-11-21 00:00:00",4
Ruch Chorzów,"2008/2009","2008-11-29 00:00:00",7
Ruch Chorzów,"2008/2009","2008-12-06 00:00:00",6
Ruch Chorzów,"2008/2009","2009-02-28 00:00:00",6
Ruch Chorzów,"2008/2009","2009-03-07 00:00:00",3
Ruch Chorzów,"2008/2009","2009-03-14 00:00:00",6
Ruch Chorzów,"2008/2009","2009-03-21 00:00:00",3
Ruch Chorzów,"2008/2009","2009-04-04 00:00:00",4
Ruch Chorzów,"2008/2009","2009-04-11 00:00:00",4
Ruch Chorzów,"2008/2009","2009-04-19 00:00:00",4
Ruch Chorzów,"2008/2009","2009-04-25 00:00:00",1
Ruch Chorzów,"2008/2009","2009-05-03 00:00:00",2
Ruch Chorzów,"2008/2009","2009-05-10 00:00:00",2
Ruch Chorzów,"2008/2009","2009-05-15 00:00:00",5
Ruch Chorzów,"2008/2009","2009-05-23 00:00:00",8
Ruch Chorzów,"2008/2009","2009-05-30 00:00:00",8
Ruch Chorzów,"2009/2010","2009-08-01 00:00:00",7
Ruch Chorzów,"2009/2010","2009-08-08 00:00:00",9
Ruch Chorzów,"2009/2010","2009-08-14 00:00:00",9
Ruch Chorzów,"2009/2010","2009-08-21 00:00:00",9
Ruch Chorzów,"2009/2010","2009-08-29 00:00:00",12
Ruch Chorzów,"2009/2010","2009-09-12 00:00:00",12
Ruch Chorzów,"2009/2010","2009-09-19 00:00:00",12
Ruch Chorzów,"2009/2010","2009-09-27 00:00:00",10
Ruch Chorzów,"2009/2010","2009-10-03 00:00:00",10
Ruch Chorzów,"2009/2010","2009-10-16 00:00:00",10
Ruch Chorzów,"2009/2010","2009-10-23 00:00:00",13
Ruch Chorzów,"2009/2010","2009-10-31 00:00:00",10
Ruch Chorzów,"2009/2010","2009-11-08 00:00:00",12
Ruch Chorzów,"2009/2010","2009-11-21 00:00:00",9
Ruch Chorzów,"2009/2010","2009-11-28 00:00:00",7
Ruch Chorzów,"2009/2010","2009-12-06 00:00:00",4
Ruch Chorzów,"2009/2010","2009-12-11 00:00:00",7
Ruch Chorzów,"2009/2010","2010-02-27 00:00:00",7
Ruch Chorzów,"2009/2010","2010-03-06 00:00:00",7
Ruch Chorzów,"2009/2010","2010-03-13 00:00:00",7
Ruch Chorzów,"2009/2010","2010-03-19 00:00:00",10
Ruch Chorzów,"2009/2010","2010-03-27 00:00:00",10
Ruch Chorzów,"2009/2010","2010-04-03 00:00:00",8
Ruch Chorzów,"2009/2010","2010-04-20 00:00:00",11
Ruch Chorzów,"2009/2010","2010-04-25 00:00:00",11
Ruch Chorzów,"2009/2010","2010-04-28 00:00:00",11
Ruch Chorzów,"2009/2010","2010-05-01 00:00:00",11
Ruch Chorzów,"2009/2010","2010-05-07 00:00:00",10
Ruch Chorzów,"2009/2010","2010-05-11 00:00:00",7
Ruch Chorzów,"2009/2010","2010-05-15 00:00:00",6
Ruch Chorzów,"2010/2011","2010-08-08 00:00:00",4
Ruch Chorzów,"2010/2011","2010-08-15 00:00:00",4
Ruch Chorzów,"2010/2011","2010-08-21 00:00:00",4
Ruch Chorzów,"2010/2011","2010-08-29 00:00:00",4
Ruch Chorzów,"2010/2011","2010-09-12 00:00:00",7
Ruch Chorzów,"2010/2011","2010-09-18 00:00:00",6
Ruch Chorzów,"2010/2011","2010-09-25 00:00:00",4
Ruch Chorzów,"2010/2011","2010-10-03 00:00:00",4
Ruch Chorzów,"2010/2011","2010-10-17 00:00:00",7
Ruch Chorzów,"2010/2011","2010-10-24 00:00:00",5
Ruch Chorzów,"2010/2011","2010-10-30 00:00:00",6
Ruch Chorzów,"2010/2011","2010-11-07 00:00:00",8
Ruch Chorzów,"2010/2011","2010-11-13 00:00:00",8
Ruch Chorzów,"2010/2011","2010-11-20 00:00:00",5
Ruch Chorzów,"2010/2011","2010-11-28 00:00:00",5
Ruch Chorzów,"2010/2011","2011-02-26 00:00:00",5
Ruch Chorzów,"2010/2011","2011-03-04 00:00:00",2
Ruch Chorzów,"2010/2011","2011-03-12 00:00:00",5
Ruch Chorzów,"2010/2011","2011-03-18 00:00:00",8
Ruch Chorzów,"2010/2011","2011-04-02 00:00:00",10
Ruch Chorzów,"2010/2011","2011-04-09 00:00:00",9
Ruch Chorzów,"2010/2011","2011-04-16 00:00:00",10
Ruch Chorzów,"2010/2011","2011-04-23 00:00:00",10
Ruch Chorzów,"2010/2011","2011-05-01 00:00:00",10
Ruch Chorzów,"2010/2011","2011-05-06 00:00:00",8
Ruch Chorzów,"2010/2011","2011-05-11 00:00:00",11
Ruch Chorzów,"2010/2011","2011-05-14 00:00:00",10
Ruch Chorzów,"2010/2011","2011-05-22 00:00:00",7
Ruch Chorzów,"2010/2011","2011-05-25 00:00:00",4
Ruch Chorzów,"2010/2011","2011-05-29 00:00:00",3
Ruch Chorzów,"2011/2012","2011-07-30 00:00:00",3
Ruch Chorzów,"2011/2012","2011-08-08 00:00:00",4
Ruch Chorzów,"2011/2012","2011-08-12 00:00:00",4
Ruch Chorzów,"2011/2012","2011-08-19 00:00:00",4
Ruch Chorzów,"2011/2012","2011-08-28 00:00:00",7
Ruch Chorzów,"2011/2012","2011-09-09 00:00:00",7
Ruch Chorzów,"2011/2012","2011-09-17 00:00:00",9
Ruch Chorzów,"2011/2012","2011-09-25 00:00:00",9
Ruch Chorzów,"2011/2012","2011-10-01 00:00:00",12
Ruch Chorzów,"2011/2012","2011-10-16 00:00:00",9
Ruch Chorzów,"2011/2012","2011-10-21 00:00:00",9
Ruch Chorzów,"2011/2012","2011-10-31 00:00:00",6
Ruch Chorzów,"2011/2012","2011-11-05 00:00:00",9
Ruch Chorzów,"2011/2012","2011-11-19 00:00:00",9
Ruch Chorzów,"2011/2012","2011-11-28 00:00:00",9
Ruch Chorzów,"2011/2012","2011-12-02 00:00:00",7
Ruch Chorzów,"2011/2012","2011-12-10 00:00:00",10
Ruch Chorzów,"2011/2012","2012-02-18 00:00:00",8
Ruch Chorzów,"2011/2012","2012-02-24 00:00:00",8
Ruch Chorzów,"2011/2012","2012-03-04 00:00:00",11
Ruch Chorzów,"2011/2012","2012-03-10 00:00:00",11
Ruch Chorzów,"2011/2012","2012-03-18 00:00:00",9
Ruch Chorzów,"2011/2012","2012-03-25 00:00:00",11
Ruch Chorzów,"2011/2012","2012-03-31 00:00:00",11
Ruch Chorzów,"2011/2012","2012-04-07 00:00:00",8
Ruch Chorzów,"2011/2012","2012-04-15 00:00:00",8
Ruch Chorzów,"2011/2012","2012-04-20 00:00:00",10
Ruch Chorzów,"2011/2012","2012-04-28 00:00:00",8
Ruch Chorzów,"2011/2012","2012-05-03 00:00:00",8
Ruch Chorzów,"2011/2012","2012-05-06 00:00:00",11
Ruch Chorzów,"2012/2013","2012-08-18 00:00:00",10
Ruch Chorzów,"2012/2013","2012-08-25 00:00:00",7
Ruch Chorzów,"2012/2013","2012-09-02 00:00:00",6
Ruch Chorzów,"2012/2013","2012-09-15 00:00:00",4
Ruch Chorzów,"2012/2013","2012-09-22 00:00:00",4
Ruch Chorzów,"2012/2013","2012-09-28 00:00:00",7
Ruch Chorzów,"2012/2013","2012-10-05 00:00:00",10
Ruch Chorzów,"2012/2013","2012-10-21 00:00:00",10
Ruch Chorzów,"2012/2013","2012-10-29 00:00:00",10
Ruch Chorzów,"2012/2013","2012-11-03 00:00:00",10
Ruch Chorzów,"2012/2013","2012-11-09 00:00:00",7
Ruch Chorzów,"2012/2013","2012-11-19 00:00:00",4
Ruch Chorzów,"2012/2013","2012-11-25 00:00:00",4
Ruch Chorzów,"2012/2013","2012-12-02 00:00:00",3
Ruch Chorzów,"2012/2013","2012-12-07 00:00:00",1
Ruch Chorzów,"2012/2013","2013-02-24 00:00:00",1
Ruch Chorzów,"2012/2013","2013-03-02 00:00:00",4
Ruch Chorzów,"2012/2013","2013-03-09 00:00:00",5
Ruch Chorzów,"2012/2013","2013-03-16 00:00:00",5
Ruch Chorzów,"2012/2013","2013-04-01 00:00:00",7
Ruch Chorzów,"2012/2013","2013-04-05 00:00:00",7
Ruch Chorzów,"2012/2013","2013-04-13 00:00:00",7
Ruch Chorzów,"2012/2013","2013-04-22 00:00:00",9
Ruch Chorzów,"2012/2013","2013-04-28 00:00:00",9
Ruch Chorzów,"2012/2013","2013-05-06 00:00:00",6
Ruch Chorzów,"2012/2013","2013-05-12 00:00:00",7
Ruch Chorzów,"2012/2013","2013-05-17 00:00:00",4
Ruch Chorzów,"2012/2013","2013-05-24 00:00:00",2
Ruch Chorzów,"2012/2013","2013-05-30 00:00:00",3
Ruch Chorzów,"2012/2013","2013-06-02 00:00:00",3
Ruch Chorzów,"2013/2014","2013-07-21 00:00:00",3
Ruch Chorzów,"2013/2014","2013-07-26 00:00:00",4
Ruch Chorzów,"2013/2014","2013-08-02 00:00:00",3
Ruch Chorzów,"2013/2014","2013-08-10 00:00:00",5
Ruch Chorzów,"2013/2014","2013-08-23 00:00:00",6
Ruch Chorzów,"2013/2014","2013-08-30 00:00:00",5
Ruch Chorzów,"2013/2014","2013-09-15 00:00:00",4
Ruch Chorzów,"2013/2014","2013-09-22 00:00:00",5
Ruch Chorzów,"2013/2014","2013-09-25 00:00:00",5
Ruch Chorzów,"2013/2014","2013-09-28 00:00:00",5
Ruch Chorzów,"2013/2014","2013-10-07 00:00:00",8
Ruch Chorzów,"2013/2014","2013-10-21 00:00:00",9
Ruch Chorzów,"2013/2014","2013-10-24 00:00:00",9
Ruch Chorzów,"2013/2014","2013-10-30 00:00:00",9
Ruch Chorzów,"2013/2014","2013-11-05 00:00:00",11
Ruch Chorzów,"2013/2014","2013-11-09 00:00:00",8
Ruch Chorzów,"2013/2014","2013-11-24 00:00:00",8
Ruch Chorzów,"2013/2014","2013-12-01 00:00:00",10
Ruch Chorzów,"2013/2014","2013-12-04 00:00:00",7
Ruch Chorzów,"2013/2014","2013-12-07 00:00:00",7
Ruch Chorzów,"2013/2014","2013-12-15 00:00:00",10
Ruch Chorzów,"2013/2014","2014-02-16 00:00:00",12
Ruch Chorzów,"2013/2014","2014-02-23 00:00:00",12
Ruch Chorzów,"2013/2014","2014-02-28 00:00:00",15
Ruch Chorzów,"2013/2014","2014-03-08 00:00:00",15
Ruch Chorzów,"2013/2014","2014-03-16 00:00:00",12
Ruch Chorzów,"2013/2014","2014-03-23 00:00:00",9
Ruch Chorzów,"2013/2014","2014-03-28 00:00:00",6
Ruch Chorzów,"2013/2014","2014-04-07 00:00:00",6
Ruch Chorzów,"2013/2014","2014-04-12 00:00:00",6
Ruch Chorzów,"2014/2015","2014-07-20 00:00:00",6
Ruch Chorzów,"2014/2015","2014-07-27 00:00:00",6
Ruch Chorzów,"2014/2015","2014-08-03 00:00:00",6
Ruch Chorzów,"2014/2015","2014-08-10 00:00:00",4
Ruch Chorzów,"2014/2015","2014-08-16 00:00:00",4
Ruch Chorzów,"2014/2015","2014-08-24 00:00:00",5
Ruch Chorzów,"2014/2015","2014-08-31 00:00:00",6
Ruch Chorzów,"2014/2015","2014-09-12 00:00:00",7
Ruch Chorzów,"2014/2015","2014-09-21 00:00:00",6
Ruch Chorzów,"2014/2015","2014-09-27 00:00:00",4
Ruch Chorzów,"2014/2015","2014-10-04 00:00:00",3
Ruch Chorzów,"2014/2015","2014-10-17 00:00:00",2
Ruch Chorzów,"2014/2015","2014-10-27 00:00:00",1
Ruch Chorzów,"2014/2015","2014-11-02 00:00:00",1
Ruch Chorzów,"2014/2015","2014-11-09 00:00:00",3
Ruch Chorzów,"2014/2015","2014-11-21 00:00:00",6
Ruch Chorzów,"2014/2015","2014-11-28 00:00:00",6
Ruch Chorzów,"2014/2015","2014-12-08 00:00:00",9
Ruch Chorzów,"2014/2015","2014-12-13 00:00:00",9
Ruch Chorzów,"2014/2015","2015-02-14 00:00:00",9
Ruch Chorzów,"2014/2015","2015-02-22 00:00:00",6
Ruch Chorzów,"2014/2015","2015-02-27 00:00:00",7
Ruch Chorzów,"2014/2015","2015-03-06 00:00:00",7
Ruch Chorzów,"2014/2015","2015-03-16 00:00:00",10
Ruch Chorzów,"2014/2015","2015-03-21 00:00:00",7
Ruch Chorzów,"2014/2015","2015-04-06 00:00:00",8
Ruch Chorzów,"2014/2015","2015-04-10 00:00:00",10
Ruch Chorzów,"2014/2015","2015-04-17 00:00:00",8
Ruch Chorzów,"2014/2015","2015-04-24 00:00:00",6
Ruch Chorzów,"2014/2015","2015-04-29 00:00:00",6
Ruch Chorzów,"2015/2016","2015-07-18 00:00:00",5
Ruch Chorzów,"2015/2016","2015-07-24 00:00:00",5
Ruch Chorzów,"2015/2016","2015-08-03 00:00:00",7
Ruch Chorzów,"2015/2016","2015-08-10 00:00:00",7
Ruch Chorzów,"2015/2016","2015-08-16 00:00:00",7
Ruch Chorzów,"2015/2016","2015-08-22 00:00:00",10
Ruch Chorzów,"2015/2016","2015-08-29 00:00:00",7
Ruch Chorzów,"2015/2016","2015-09-13 00:00:00",7
Ruch Chorzów,"2015/2016","2015-09-20 00:00:00",6
Ruch Chorzów,"2015/2016","2015-09-26 00:00:00",6
Ruch Chorzów,"2015/2016","2015-10-02 00:00:00",3
Ruch Chorzów,"2015/2016","2015-10-17 00:00:00",4
Ruch Chorzów,"2015/2016","2015-10-23 00:00:00",4
Ruch Chorzów,"2015/2016","2015-10-30 00:00:00",5
Ruch Chorzów,"2015/2016","2015-11-07 00:00:00",8
Ruch Chorzów,"2015/2016","2015-11-21 00:00:00",11
Ruch Chorzów,"2015/2016","2015-11-27 00:00:00",10
Ruch Chorzów,"2015/2016","2015-12-01 00:00:00",10
Ruch Chorzów,"2015/2016","2015-12-05 00:00:00",10
Ruch Chorzów,"2015/2016","2015-12-11 00:00:00",7
Ruch Chorzów,"2015/2016","2015-12-19 00:00:00",7
Ruch Chorzów,"2015/2016","2016-02-12 00:00:00",8
Ruch Chorzów,"2015/2016","2016-02-21 00:00:00",8
Ruch Chorzów,"2015/2016","2016-02-28 00:00:00",7
Ruch Chorzów,"2015/2016","2016-03-02 00:00:00",7
Ruch Chorzów,"2015/2016","2016-03-07 00:00:00",7
Ruch Chorzów,"2015/2016","2016-03-12 00:00:00",6
Ruch Chorzów,"2015/2016","2016-03-19 00:00:00",4
Ruch Chorzów,"2015/2016","2016-04-03 00:00:00",4
Ruch Chorzów,"2015/2016","2016-04-09 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2011-07-29 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2011-08-06 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2011-08-13 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2011-08-20 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2011-08-27 00:00:00",6
Oud-Heverlee Leuven,"2011/2012","2011-09-10 00:00:00",6
Oud-Heverlee Leuven,"2011/2012","2011-09-17 00:00:00",6
Oud-Heverlee Leuven,"2011/2012","2011-09-24 00:00:00",7
Oud-Heverlee Leuven,"2011/2012","2011-10-01 00:00:00",7
Oud-Heverlee Leuven,"2011/2012","2011-10-15 00:00:00",5
Oud-Heverlee Leuven,"2011/2012","2011-10-22 00:00:00",2
Oud-Heverlee Leuven,"2011/2012","2011-10-29 00:00:00",5
Oud-Heverlee Leuven,"2011/2012","2011-11-05 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2011-11-18 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2011-11-26 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2011-12-04 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2011-12-10 00:00:00",2
Oud-Heverlee Leuven,"2011/2012","2011-12-18 00:00:00",5
Oud-Heverlee Leuven,"2011/2012","2011-12-26 00:00:00",6
Oud-Heverlee Leuven,"2011/2012","2012-01-14 00:00:00",7
Oud-Heverlee Leuven,"2011/2012","2012-01-21 00:00:00",7
Oud-Heverlee Leuven,"2011/2012","2012-01-25 00:00:00",6
Oud-Heverlee Leuven,"2011/2012","2012-01-28 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2012-02-04 00:00:00",2
Oud-Heverlee Leuven,"2011/2012","2012-02-11 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2012-02-18 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2012-02-25 00:00:00",3
Oud-Heverlee Leuven,"2011/2012","2012-03-03 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2012-03-18 00:00:00",4
Oud-Heverlee Leuven,"2011/2012","2012-03-21 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2012-07-28 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2012-08-05 00:00:00",5
Oud-Heverlee Leuven,"2012/2013","2012-08-12 00:00:00",5
Oud-Heverlee Leuven,"2012/2013","2012-08-18 00:00:00",8
Oud-Heverlee Leuven,"2012/2013","2012-08-25 00:00:00",6
Oud-Heverlee Leuven,"2012/2013","2012-09-01 00:00:00",7
Oud-Heverlee Leuven,"2012/2013","2012-09-15 00:00:00",6
Oud-Heverlee Leuven,"2012/2013","2012-09-22 00:00:00",6
Oud-Heverlee Leuven,"2012/2013","2012-09-29 00:00:00",6
Oud-Heverlee Leuven,"2012/2013","2012-10-06 00:00:00",8
Oud-Heverlee Leuven,"2012/2013","2012-10-20 00:00:00",10
Oud-Heverlee Leuven,"2012/2013","2012-10-27 00:00:00",13
Oud-Heverlee Leuven,"2012/2013","2012-10-31 00:00:00",15
Oud-Heverlee Leuven,"2012/2013","2012-11-04 00:00:00",12
Oud-Heverlee Leuven,"2012/2013","2012-11-10 00:00:00",10
Oud-Heverlee Leuven,"2012/2013","2012-11-17 00:00:00",7
Oud-Heverlee Leuven,"2012/2013","2012-11-25 00:00:00",5
Oud-Heverlee Leuven,"2012/2013","2012-12-01 00:00:00",3
Oud-Heverlee Leuven,"2012/2013","2012-12-08 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2012-12-16 00:00:00",3
Oud-Heverlee Leuven,"2012/2013","2012-12-22 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2012-12-26 00:00:00",3
Oud-Heverlee Leuven,"2012/2013","2013-01-19 00:00:00",2
Oud-Heverlee Leuven,"2012/2013","2013-01-26 00:00:00",1
Oud-Heverlee Leuven,"2012/2013","2013-02-02 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2013-02-09 00:00:00",3
Oud-Heverlee Leuven,"2012/2013","2013-02-16 00:00:00",4
Oud-Heverlee Leuven,"2012/2013","2013-02-23 00:00:00",7
Oud-Heverlee Leuven,"2012/2013","2013-03-09 00:00:00",7
Oud-Heverlee Leuven,"2012/2013","2013-03-16 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2015-07-25 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2015-08-02 00:00:00",4
Oud-Heverlee Leuven,"2015/2016","2015-08-08 00:00:00",1
Oud-Heverlee Leuven,"2015/2016","2015-08-16 00:00:00",4
Oud-Heverlee Leuven,"2015/2016","2015-08-22 00:00:00",3
Oud-Heverlee Leuven,"2015/2016","2015-08-29 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2015-09-12 00:00:00",7
Oud-Heverlee Leuven,"2015/2016","2015-09-19 00:00:00",7
Oud-Heverlee Leuven,"2015/2016","2015-09-26 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2015-10-03 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2015-10-17 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2015-10-24 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2015-10-28 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2015-10-31 00:00:00",4
Oud-Heverlee Leuven,"2015/2016","2015-11-07 00:00:00",3
Oud-Heverlee Leuven,"2015/2016","2015-11-21 00:00:00",0
Oud-Heverlee Leuven,"2015/2016","2015-11-29 00:00:00",0
Oud-Heverlee Leuven,"2015/2016","2015-12-05 00:00:00",3
Oud-Heverlee Leuven,"2015/2016","2015-12-12 00:00:00",3
Oud-Heverlee Leuven,"2015/2016","2015-12-19 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2015-12-26 00:00:00",7
Oud-Heverlee Leuven,"2015/2016","2016-01-16 00:00:00",10
Oud-Heverlee Leuven,"2015/2016","2016-01-23 00:00:00",8
Oud-Heverlee Leuven,"2015/2016","2016-01-30 00:00:00",8
Oud-Heverlee Leuven,"2015/2016","2016-02-06 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2016-02-13 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2016-02-20 00:00:00",3
Oud-Heverlee Leuven,"2015/2016","2016-02-27 00:00:00",5
Oud-Heverlee Leuven,"2015/2016","2016-03-04 00:00:00",6
Oud-Heverlee Leuven,"2015/2016","2016-03-13 00:00:00",5
Jagiellonia Białystok,"2008/2009","2008-08-10 00:00:00",1
Jagiellonia Białystok,"2008/2009","2008-08-17 00:00:00",1
Jagiellonia Białystok,"2008/2009","2008-08-24 00:00:00",1
Jagiellonia Białystok,"2008/2009","2008-08-30 00:00:00",4
Jagiellonia Białystok,"2008/2009","2008-09-12 00:00:00",4
Jagiellonia Białystok,"2008/2009","2008-09-21 00:00:00",3
Jagiellonia Białystok,"2008/2009","2008-09-27 00:00:00",4
Jagiellonia Białystok,"2008/2009","2008-10-03 00:00:00",5
Jagiellonia Białystok,"2008/2009","2008-10-17 00:00:00",3
Jagiellonia Białystok,"2008/2009","2008-10-24 00:00:00",6
Jagiellonia Białystok,"2008/2009","2008-11-02 00:00:00",9
Jagiellonia Białystok,"2008/2009","2008-11-08 00:00:00",9
Jagiellonia Białystok,"2008/2009","2008-11-12 00:00:00",11
Jagiellonia Białystok,"2008/2009","2008-11-15 00:00:00",11
Jagiellonia Białystok,"2008/2009","2008-11-22 00:00:00",8
Jagiellonia Białystok,"2008/2009","2008-11-29 00:00:00",5
Jagiellonia Białystok,"2008/2009","2008-12-06 00:00:00",4
Jagiellonia Białystok,"2008/2009","2009-02-28 00:00:00",4
Jagiellonia Białystok,"2008/2009","2009-03-08 00:00:00",3
Jagiellonia Białystok,"2008/2009","2009-03-13 00:00:00",6
Jagiellonia Białystok,"2008/2009","2009-03-20 00:00:00",7
Jagiellonia Białystok,"2008/2009","2009-04-05 00:00:00",10
Jagiellonia Białystok,"2008/2009","2009-04-11 00:00:00",7
Jagiellonia Białystok,"2008/2009","2009-04-19 00:00:00",10
Jagiellonia Białystok,"2008/2009","2009-04-25 00:00:00",7
Jagiellonia Białystok,"2008/2009","2009-05-02 00:00:00",6
Jagiellonia Białystok,"2008/2009","2009-05-08 00:00:00",3
Jagiellonia Białystok,"2008/2009","2009-05-16 00:00:00",6
Jagiellonia Białystok,"2008/2009","2009-05-23 00:00:00",3
Jagiellonia Białystok,"2008/2009","2009-05-30 00:00:00",3
Jagiellonia Białystok,"2009/2010","2009-08-01 00:00:00",6
Jagiellonia Białystok,"2009/2010","2009-08-08 00:00:00",7
Jagiellonia Białystok,"2009/2010","2009-08-15 00:00:00",7
Jagiellonia Białystok,"2009/2010","2009-08-22 00:00:00",10
Jagiellonia Białystok,"2009/2010","2009-08-29 00:00:00",10
Jagiellonia Białystok,"2009/2010","2009-09-12 00:00:00",7
Jagiellonia Białystok,"2009/2010","2009-09-20 00:00:00",7
Jagiellonia Białystok,"2009/2010","2009-09-26 00:00:00",5
Jagiellonia Białystok,"2009/2010","2009-10-03 00:00:00",5
Jagiellonia Białystok,"2009/2010","2009-10-18 00:00:00",6
Jagiellonia Białystok,"2009/2010","2009-10-23 00:00:00",7
Jagiellonia Białystok,"2009/2010","2009-10-31 00:00:00",9
Jagiellonia Białystok,"2009/2010","2009-11-08 00:00:00",8
Jagiellonia Białystok,"2009/2010","2009-11-20 00:00:00",6
Jagiellonia Białystok,"2009/2010","2009-11-28 00:00:00",6
Jagiellonia Białystok,"2009/2010","2009-12-05 00:00:00",6
Jagiellonia Białystok,"2009/2010","2009-12-13 00:00:00",6
Jagiellonia Białystok,"2009/2010","2010-02-27 00:00:00",6
Jagiellonia Białystok,"2009/2010","2010-03-06 00:00:00",8
Jagiellonia Białystok,"2009/2010","2010-03-12 00:00:00",8
Jagiellonia Białystok,"2009/2010","2010-03-21 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-03-28 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-04-01 00:00:00",10
Jagiellonia Białystok,"2009/2010","2010-04-19 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-04-24 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-04-28 00:00:00",10
Jagiellonia Białystok,"2009/2010","2010-05-01 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-05-07 00:00:00",7
Jagiellonia Białystok,"2009/2010","2010-05-11 00:00:00",8
Jagiellonia Białystok,"2009/2010","2010-05-15 00:00:00",7
Jagiellonia Białystok,"2010/2011","2010-08-08 00:00:00",5
Jagiellonia Białystok,"2010/2011","2010-08-14 00:00:00",8
Jagiellonia Białystok,"2010/2011","2010-08-22 00:00:00",8
Jagiellonia Białystok,"2010/2011","2010-08-29 00:00:00",10
Jagiellonia Białystok,"2010/2011","2010-09-10 00:00:00",13
Jagiellonia Białystok,"2010/2011","2010-09-19 00:00:00",12
Jagiellonia Białystok,"2010/2011","2010-09-26 00:00:00",12
Jagiellonia Białystok,"2010/2011","2010-10-02 00:00:00",12
Jagiellonia Białystok,"2010/2011","2010-10-16 00:00:00",12
Jagiellonia Białystok,"2010/2011","2010-10-23 00:00:00",9
Jagiellonia Białystok,"2010/2011","2010-10-29 00:00:00",12
Jagiellonia Białystok,"2010/2011","2010-11-06 00:00:00",9
Jagiellonia Białystok,"2010/2011","2010-11-14 00:00:00",7
Jagiellonia Białystok,"2010/2011","2010-11-20 00:00:00",7
Jagiellonia Białystok,"2010/2011","2010-11-28 00:00:00",8
Jagiellonia Białystok,"2010/2011","2011-03-05 00:00:00",6
Jagiellonia Białystok,"2010/2011","2011-03-08 00:00:00",7
Jagiellonia Białystok,"2010/2011","2011-03-12 00:00:00",6
Jagiellonia Białystok,"2010/2011","2011-03-19 00:00:00",3
Jagiellonia Białystok,"2010/2011","2011-04-03 00:00:00",2
Jagiellonia Białystok,"2010/2011","2011-04-10 00:00:00",4
Jagiellonia Białystok,"2010/2011","2011-04-16 00:00:00",6
Jagiellonia Białystok,"2010/2011","2011-04-20 00:00:00",9
Jagiellonia Białystok,"2010/2011","2011-04-30 00:00:00",9
Jagiellonia Białystok,"2010/2011","2011-05-07 00:00:00",9
Jagiellonia Białystok,"2010/2011","2011-05-10 00:00:00",6
Jagiellonia Białystok,"2010/2011","2011-05-13 00:00:00",4
Jagiellonia Białystok,"2010/2011","2011-05-21 00:00:00",4
Jagiellonia Białystok,"2010/2011","2011-05-25 00:00:00",4
Jagiellonia Białystok,"2010/2011","2011-05-29 00:00:00",7
